,Employee ID,Employee Chats,Employee Feedback,Division/Organization,Location of Office,chat_sentiment,feedback_sentiment,chat_emotion,feedback_emotion
1,EMP001,I love how leadership listens to our concerns and takes action quickly!,This initiative looks great but execution is everything,Marketing,"Atlanta, GA",0.899999976,0,joy,neutral
2,EMP002,It's so frustrating when decisions are made without consulting the teams actually doing the work.,Great concept but people will only use it if it's easy and practical,Learning & Development,"Los Angeles, CA",-0.800000012,0,sadness,neutral
3,EMP003,"If leadership stopped micromanaging, people would actually be more productive",This would improve morale but only if leadership truly supports it,Finance,"Boston, MA",-0.300000012,-0.400000006,neutral,neutral
4,EMP004,We spend too much time on manual reports when automation could save us hours every week,This is a great idea but we need to consider cost and implementation challenges,Customer Support,"New York, NY",0,0,neutral,neutral
5,EMP005,"This company has given me incredible career growth opportunities, and I truly appreciate it.","This is an exciting idea! If we get the right support, it could completely transform how we work.",Finance,"Dallas, TX",0.899999976,0.5,joy,joy
6,EMP006,An on-site daycare would be life-changing for working parents but I doubt the company will fully fund it,"If management actually listens to employees for once, this could finally be the change we’ve all been waiting for!",Administration,"Dallas, TX",-0.5,-0.100000001,neutral,neutral
7,EMP007,"Every time we raise a valid issue, it feels like it just disappears into the void.","This could skyrocket efficiency, but if we don’t get proper training, it’ll be a total disaster.",Marketing,"Boston, MA",-0.800000012,-0.800000012,neutral,neutral
8,EMP008,Why do we still have outdated software when better solutions exist? It slows everything down.,"It’s a fantastic idea, but let’s be real—our budget is already stretched thin. I don’t see this happening anytime soon.",IT Department,"Washington, D.C.",-0.699999988,-0.300000012,neutral,neutral
9,EMP009,I do not want to work here anymore. I hate it. ,"This could seriously boost morale! But if leadership just pretends to support it without real action, it’ll backfire fast.",Corporate Benefits,"Boston, MA",-0.899999976,0,anger,anger
10,EMP010,"We need better training, not just mandatory courses that no one finds useful",We can’t let this become another perk that only certain teams benefit from. It needs to be fair for everyone!,Project Management,"Atlanta, GA",-0.800000012,-0.5,neutral,neutral
11,EMP011,Our new office space is beautiful! It makes coming to work so much better.,"Honestly, this sounds amazing, but I have zero faith in leadership actually making the necessary policy changes.",Corporate Benefits,"Denver, CO",0.899999976,-0.699999988,joy,surprise
12,EMP012,"AI chatbots could help but if they don't work well, they will just frustrate customers even more",Might be difficult to implement without significant policy changes,HR,"Los Angeles, CA",-0.699999988,-0.5,anger,neutral
13,EMP013,What is the point of this new schedule if we are not going to get any days off?,"If they roll this out properly, it’ll be a game-changer. If not, it’ll just be another mess we have to clean up.",Marketing,"New York, NY",-0.5,-0.300000012,neutral,neutral
14,EMP014,I was genuinely surprised by how good our new leadership training was—actually useful!,We’ve seen so many great ideas crash and burn because of poor execution. I really hope this isn’t one of them.,IT Department,"Boston, MA",0.899999976,-0.600000024,surprise,neutral
